Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Краснодарский край;все население;21986;22409;23108;23275;24759;24905;22324;21251;21456;22705;25269;29057;30783;29252;22967;22029;22072;23960;24756;24593;23341;24830;24529;26790;26959;25427;25321;25404;21387;27258;25688;27657
        Краснодарский край;городское население;;;;;;;;;;;;;;;;;;;;;;14247;14332;15752;15949;15250;15407;15418;13286;17087;16266;17484
        Краснодарский край;сельское население;;;;;;;;;;;;;;;;;;;;;;10583;10197;11038;11010;10177;9914;9986;8101;10171;9422;10173
        Астраханская область;все население;3574;3526;3827;3720;4255;4707;3710;3776;3071;3746;4525;7255;7127;5443;4368;4087;4740;5257;5346;5353;5066;5302;4965;5303;5172;4378;4251;4175;4120;4083;4095;5013
        Астраханская область;городское население;;;;;;;;;;;;;;;;;;;;;;3792;3551;3750;3635;3127;3070;2997;2977;3017;2899;3417
        Астраханская область;сельское население;;;;;;;;;;;;;;;;;;;;;;1510;1414;1553;1537;1251;1181;1178;1143;1066;1196;1596
        Волгоградская область;все население;11604;12254;12328;12691;14051;13672;11309;11401;8996;10894;13074;14728;15624;14283;11749;10605;11609;12492;12798;12570;11072;11922;11483;12299;12031;10567;10442;10489;9889;10137;9087;10505
        Волгоградская область;городское население;;;;;;;;;;;;;;;;;;;;;;9235;8782;9472;9300;8131;8036;8280;7868;8114;7198;8322
        Волгоградская область;сельское население;;;;;;;;;;;;;;;;;;;;;;2687;2701;2827;2731;2436;2406;2209;2021;2023;1889;2183
        Ростовская область;все население;18779;19178;20278;20408;21265;21206;18148;18265;14524;15822;19178;22493;25528;24112;19986;18414;19366;21219;21961;21778;20266;20276;16767;18026;20575;18414;18117;18289;17460;18127;16744;18217
        Ростовская область;городское население;;;;;;;;;;;;;;;;;;;;;;14126;11585;12556;14297;12950;12774;12914;12390;12905;11820;12974
        Ростовская область;сельское население;;;;;;;;;;;;;;;;;;;;;;6150;5182;5470;6278;5464;5343;5375;5070;5222;4924;5243
        Город федерального значения Севастополь;все население;;;;;;;;;;;;;;;;;;;;;;;;;;1630;1890;1961;1938;2035;1927;2233
        Город федерального значения Севастополь;городское население;;;;;;;;;;;;;;;;;;;;;;;;;;1541;1769;1849;1849;1954;1836;2113
        Город федерального значения Севастополь;сельское население;;;;;;;;;;;;;;;;;;;;;;;;;;89;121;112;89;81;91;120
    Северо-Кавказский федеральный округ;все население;;;;;;;;;;;;;;;;;;;;;23882;24433;23941;24098;24394;22673;22879;22160;20865;22588;22884;34281
    Северо-Кавказский федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;14002;13707;13911;14118;13397;13464;13253;12477;13710;13695;19679
    Северо-Кавказский федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;10431;10234;10187;10276;9276;9415;8907;8388;8878;9189;14602
        Республика Дагестан;все население;3101;3386;3102;2762;2975;2713;2337;2363;2491;2523;2994;2997;3705;3742;3138;3005;3854;3944;4144;4382;4456;4613;4606;4919;5075;4795;4964;4685;4457;4903;5302;9133
        Республика Дагестан;городское население;;;;;;;;;;;;;;;;;;;;;;2296;2253;2495;2544;2315;2468;2324;2276;2466;2599;3882
        Республика Дагестан;сельское население;;;;;;;;;;;;;;;;;;;;;;2317;2353;2424;2531;2480;2496;2361;2181;2437;2703;5251
        Республика Ингушетия;все население;0;0;0;0;0;151;112;92;106;104;133;156;217;246;210;203;223;359;378;399;377;377;403;426;402;389;426;386;399;398;510;1643
        Республика Ингушетия;городское население;;;;;;;;;;;;;;;;;;;;;;155;177;174;215;196;221;248;287;240;308;929
        Республика Ингушетия;сельское население;;;;;;;;;;;;;;;;;;;;;;222;226;252;187;193;205;138;112;158;202;714
        Кабардино-Балкарская Республика;все население;2487;2721;2762;2674;2673;2672;2297;2443;1906;1980;2006;2448;2762;2524;2218;2087;2210;2369;2342;2695;2353;2609;2615;2174;2173;2154;2403;2435;2106;2298;2242;3052
        Кабардино-Балкарская Республика;городское население;;;;;;;;;;;;;;;;;;;;;;1609;1671;1369;1301;1341;1480;1523;1280;1402;1363;1783
        Кабардино-Балкарская Республика;сельское население;;;;;;;;;;;;;;;;;;;;;;1000;944;805;872;813;923;912;826;896;879;1269
        Карачаево-Черкесская Республика;все население;1533;1567;1444;1405;1532;1448;1166;1186;891;969;1156;1360;1583;1748;1552;1102;1364;1416;1394;1429;1453;1696;1647;1367;1641;1605;1462;1393;1470;1451;1388;2281
        Карачаево-Черкесская Республика;городское население;;;;;;;;;;;;;;;;;;;;;;787;792;671;778;770;692;699;736;742;658;1028
        Карачаево-Черкесская Республика;сельское население;;;;;;;;;;;;;;;;;;;;;;909;855;696;863;835;770;694;734;709;730;1253
        Республика Северная Осетия-Алания;все население;2217;2375;2225;1891;1876;1739;1480;1489;1515;1399;1647;2025;2216;1837;1721;1580;1727;2075;1982;2050;1828;1935;1974;1777;1969;1848;1830;1819;1786;1809;1769;2837
        Республика Северная Осетия-Алания;городское население;;;;;;;;;;;;;;;;;;;;;;1437;1429;1325;1451;1403;1373;1379;1323;1325;1323;2151
        Республика Северная Осетия-Алания;сельское население;;;;;;;;;;;;;;;;;;;;;;498;545;452;518;445;457;440;463;484;446;686
        Чеченская Республика;все население;2429;2443;1617;0;0;0;0;0;0;0;0;0;0;359;292;305;377;626;899;1143;1207;1238;1184;1310;1181;1056;1231;1076;783;1215;1457;3783
        Чеченская Республика;городское население;;;;;;;;;;;;;;;;;;;;;;597;587;677;718;582;563;569;418;784;1000;2629
        Чеченская Республика;сельское население;;;;;;;;;;;;;;;;;;;;;;641;597;633;463;474;668;507;365;431;457;1154
        Ставропольский край;все население;10835;11339;11426;11569;12075;11861;10548;10935;8910;9592;10708;13222;14417;13782;10952;9973;10711;11819;12121;12118;12208;11965;11512;12125;11953;10826;10563;10366;9864;10514;10216;11552
        Ставропольский край;городское население;;;;;;;;;;;;;;;;;;;;;;7121;6798;7200;7111;6790;6667;6511;6157;6751;6444;7277
        Ставропольский край;сельское население;;;;;;;;;;;;;;;;;;;;;;4844;4714;4925;4842;4036;3896;3855;3707;3763;3772;4275
    Приволжский федеральный округ;все население;94627;103579;116020;124408;129311;126565;107011;105453;90838;101794;121466;154342;184631;176275;126856;120537;129358;136425;139826;138641;126356;132639;128248;129136;137319;117212;116245;115992;112024;114345;106526;120760
    Приволжский федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;101507;98423;98417;105066;90851;90254;89921;86795;89007;82241;93069
    Приволжский федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;31132;29825;30719;32253;26361;25991;26071;25229;25338;24285;27691
        Республика Башкортостан;все население;11092;12160;13393;13856;14535;14924;14389;13450;13764;14024;16191;19396;25247;23501;15398;14180;15431;16467;17453;17902;16607;17977;17854;18250;18192;15953;15645;15572;15383;15399;14573;16704
        Республика Башкортостан;городское население;;;;;;;;;;;;;;;;;;;;;;12458;13463;13770;13824;12156;11893;11897;11736;11851;11011;12526
        Республика Башкортостан;сельское население;;;;;;;;;;;;;;;;;;;;;;5519;4391;4480;4368;3797;3752;3675;3647;3548;3562;4178
        Республика Марий Эл;все население;1738;1983;2241;2637;2733;2685;1878;1835;1813;1821;2138;3033;3794;3607;2499;2319;2793;2901;2926;2884;2751;2853;2791;2942;3063;2548;2544;2490;2569;2400;2294;2495
        Республика Марий Эл;городское население;;;;;;;;;;;;;;;;;;;;;;2016;1923;2057;2127;1828;1837;1801;1869;1731;1704;1826
        Республика Марий Эл;сельское население;;;;;;;;;;;;;;;;;;;;;;837;868;885;936;720;707;689;700;669;590;669
        Республика Мордовия;все население;2489;2404;2742;2969;3223;3131;2710;2784;2123;2354;3145;3947;5262;4508;3131;3050;3101;3476;3462;3339;2980;3042;3123;3450;3168;2687;2659;2648;2614;2571;2295;2496
        Республика Мордовия;городское население;;;;;;;;;;;;;;;;;;;;;;2169;2143;2361;2100;1846;1876;1848;1755;1843;1651;1741
        Республика Мордовия;сельское население;;;;;;;;;;;;;;;;;;;;;;873;980;1089;1068;841;783;800;859;728;644;755
        Республика Татарстан (Татарстан);все население;10752;11703;13223;14705;14951;14498;12033;12266;11108;11394;12820;15921;21020;17867;12842;14279;15245;15416;15671;14669;13960;14747;12765;13603;15106;13450;13450;13586;13456;13317;11353;14877
