Субъект;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Самарская область;;;;88408;102272;88299;78851;70324;63952;59612;54906;43752;40756;35990;36473;41915;42810;44778;45312;38784;42105;58583;69066;69816;76744;72395;72887;70216;75919;80275;66355;71398
        Саратовская область;;;;84550;88921;80498;70960;65893;63287;59242;58012;47325;43577;43026;43559;46362;49082;46504;41125;35628;37872;57938;70955;73048;77852;74040;70490;66547;63816;62881;53771;50439
        Ульяновская область;;;;55860;52335;43362;35593;32368;29745;28862;27790;20887;19058;17687;16709;13961;12744;16660;15582;12379;11409;22038;26145;26577;29880;30411;30156;28915;29801;25605;23307;24279
    Уральский федеральный округ;;;;367666;416874;405688;369995;359625;316594;278533;267705;236286;213311;208560;213094;215765;225929;241079;223689;192296;202245;357777;435034;446167;443969;427933;432780;417627;419293;413429;372494;376339
        Курганская область;;;;37141;41804;37651;33153;33974;29829;25501;23179;19454;18750;19390;18335;18100;16666;18850;15275;13828;12482;21079;31848;33850;32309;30264;28332;27947;29635;29829;28862;26408
        Свердловская область;;;;116028;132863;133953;110417;109011;98468;91896;83880;75204;65068;64292;76238;74978;79163;74910;67902;54927;57627;97474;116237;121274;126387;119074;119226;120480;120694;114839;106392;102670
        Тюменская область;;;;128402;143395;134415;142876;125893;106548;87456;93524;86012;83114;79569;74406;73427;79805;89437;85326;76027;85402;160359;196978;196625;186742;182602;186120;174815;177064;169499;149853;157311
            Ханты-Мансийский автономный округ - Югра (Тюменская область);;;;;68047;64581;70398;62892;50901;40082;49066;46439;44075;41870;36963;35832;38513;46522;45072;40798;45333;75506;87799;80824;79910;82199;86702;76217;75582;73542;70427;74378
            Ямало-Ненецкий автономный округ (Тюменская область);;;;;35022;29412;27417;22281;18701;15791;15746;15414;15606;15009;14905;15010;15383;15422;13685;12282;12921;35839;44217;44191;43252;35835;36283;35163;36052;33016;27859;29248
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;40326;40422;45061;40720;36946;31583;28712;24159;23433;22690;22538;22585;25909;27493;26569;22947;27148;49014;64962;71610;63580;64568;63135;63435;65430;62941;51567;53685
        Челябинская область;;;;86095;98812;99669;83549;90747;81749;73680;67122;55616;46379;45309;44115;49260;50295;57882;55186;47514;46734;78865;89971;94418;98531;95993;99102;94385;91900;99262;87387;89950
    Сибирский федеральный округ;;;;658758;728325;706445;609204;570040;532806;503230;466277;413822;384109;365767;375655;368118;368553;383559;367399;341225;350094;536550;611926;634771;628957;641425;641970;639899;587268;546115;476964;504739
        Республика Алтай;;;;7229;8603;8523;6627;7586;7663;7537;6699;5506;4464;4250;4598;4900;4429;4513;4097;3772;4927;9972;9569;10130;12116;12913;13326;13034;12694;13264;11398;12186
        Республика Тыва;;;;12194;11595;12235;8471;9200;7968;8629;9383;9333;9671;7607;8125;7324;6835;6863;6771;8323;8030;8713;10507;10426;10078;10485;11860;12268;12496;11237;9858;10746
        Республика Хакасия;;;;24066;24992;26813;21165;20867;19077;19967;18834;16457;15234;16144;15486;15036;13264;14832;12423;11531;12776;17830;21571;23157;23672;24674;24539;24163;23128;20743;20396;21395
        Алтайский край;;;;103883;111021;102628;90431;86619;78564;79202;72690;61104;56695;52749;52068;50503;48570;48103;43906;43028;44655;74544;86841;89622;84561;81479;75769;72885;79408;79649;65449;66800
        Красноярский край;;;;99552;109545;113680;96959;85596;79184;74479;71777;64958;60268;59608;61100;62436;65739;71192;66715;62238;62090;90898;102529;110347;113508;117098;124478;125011;130994;119790;115433;128021
        Иркутская область;;;;80851;81678;77198;69716;64640;62529;57782;54906;46485;41998;39047;40188;38350;37513;37457;37328;29091;36571;55442;61959;67642;63238;61626;62978;66678;68130;59050;49222;49305
        Кемеровская область - Кузбасс;;;;90582;102040;95518;79392;68830;65648;62984;57200;53222;51098;49942;53593;52505;49622;55033;52352;44230;42167;60445;66620;66437;70749;75605;77734;75693;74502;70729;60424;59504
        Новосибирская область;;;;77108;91855;91400;79418;76847;73256;65214;56138;49301;42323;40070;43975;41226;43498;44114;48688;50151;49012;80701;93163;95334;81337;85339;83934;86300;90869;81920;72930;79455
        Омская область;;;;70912;84182;74772;68456;71301;65394;54648;50167;45010;42795;39305;41575;39966;39204;37250;31179;26848;27857;47253;53910;54763;59011;58165;55095;54082;54605;48945;40901;42402
        Томская область;;;;25385;30683;32261;27416;27546;24732;23498;21725;20065;19590;17689;16496;18914;17600;20003;20745;20468;22560;34925;42296;42330;40781;40445;40643;41348;40442;40788;30953;34925
    Дальневосточный федеральный округ;;;;249024;254542;256493;221259;195170;188707;172646;158009;137845;133822;134105;118857;113900;110732;119589;115489;93872;96875;187335;232140;238122;240862;247821;251030;256662;328464;331108;289323;311864
        Республика Бурятия;;;;28617;33244;31715;26836;22015;21086;20453;20032;17847;17347;18103;19414;18880;23453;25478;23555;21366;20151;30376;35191;37514;40570;43503;43545;40551;41174;45387;39850;42032
        Забайкальский край;;;;38379;38887;39702;34317;28993;27705;28837;26726;24534;22626;21253;19037;18078;18826;18721;19640;20179;19298;25451;27770;27069;29336;30093;28069;27886;29262;29083;24882;24225
        Республика Саха (Якутия);;;;35341;30776;30892;28605;24043;23879;27235;28710;25867;21958;21501;20288;19113;21114;25268;21205;14989;14553;26390;33005;33042;31486;36456;36715;40724;42338;42405;47355;56166
        Камчатский край;;;;9430;11525;13329;11149;9664;8133;6564;5716;5334;5315;5711;4590;4373;4885;5833;5537;5264;6602;8236;11999;13976;13246;13307;12561;13645;14837;14192;13430;14410
        Приморский край;;;;71986;78037;78218;67495;59215;61129;49650;39332;31186;32857;31869;28432;24784;26402;27520;29617;24881;24327;59462;73666;72695;75467;77358;77058;75619;77913;80441;64699;67999
        Хабаровский край;;;;43841;46417;44317;37598;36844;33799;30147;29464;26593;25034;27457;23876;23020;22135;26380;24760;20389;21993;39708;52318;57256;55847;54521;57047;55463;53212;51324;39050;51883
        Амурская область;;;;43100;44519;45173;35804;31333;29169;28997;27409;25881;26011;27417;24039;25170;19084;17089;16749;14261;15346;22775;25426;26167;29939;29924;28761;29584;29396;29604;24956;22027
        Магаданская область;;;;12539;13009;13149;12316;10416;9685;8869;7597;6417;6489;5569;4927;5045;4336;3792;3517;3262;2978;5776;6390;6161;5721;5882;7883;7986;7083;7921;6908;6735
        Сахалинская область;;;;18224;16759;19130;17316;14362;14356;13266;12464;9597;9294;8509;7540;7192;7374;8449;9186;6943;6736;16957;20382;19732;20167;21321;21971;25025;24327;20441;19953;17515
        Еврейская автономная область;;;;8379;8394;7611;7420;6399;6030;6020;5525;5143;4748;4551;3832;3893;4054;4139;4106;3107;3466;4550;4999;4420;4175;4660;4754;4246;3521;4281;3527;3536
        Чукотский автономный округ;;;;6184;5106;4674;3556;2894;2527;1898;1792;1827;2116;1521;1333;1310;1348;1119;812;776;874;3481;3955;4673;4814;4392;4280;4370;5401;6029;4713;5336
